Epoch,Training Accuracy,Test Accuracy
1,0.8326,0.8308
2,0.8912,0.8892
3,0.8761,0.8788
4,0.8775,0.8763
5,0.8350,0.8335
6,0.8889,0.8908
7,0.8870,0.8798
8,0.8840,0.8814
9,0.8943,0.8925
10,0.9008,0.8945
11,0.8749,0.8728
12,0.9092,0.9050
13,0.8966,0.8988
14,0.9058,0.9025
15,0.9114,0.9068
16,0.9014,0.8976
17,0.9106,0.9065
18,0.9007,0.8970
19,0.9040,0.8979
20,0.9160,0.9103
21,0.9002,0.8940
22,0.7617,0.7658
23,0.8040,0.8094
24,0.8625,0.8594
25,0.8528,0.8497
26,0.8315,0.8313
27,0.8526,0.8532
28,0.8361,0.8453
29,0.5970,0.5972
30,0.7113,0.7129
31,0.6228,0.6315
32,0.5453,0.5495
33,0.3753,0.3795
34,0.5321,0.5390
35,0.5922,0.5937
36,0.7478,0.7551
37,0.3952,0.4063
38,0.2842,0.2897
39,0.3169,0.3234
40,0.1124,0.1135
41,0.1124,0.1135
42,0.1124,0.1135
43,0.1044,0.1028
44,0.1124,0.1135
45,0.1124,0.1135
46,0.1044,0.1028
47,0.1044,0.1028
48,0.1124,0.1135
49,0.1124,0.1135
50,0.1022,0.1010
51,0.1124,0.1135
52,0.1124,0.1135
53,0.1124,0.1135
54,0.1124,0.1135
55,0.1124,0.1135
56,0.1124,0.1135
57,0.1124,0.1135
58,0.1124,0.1135
59,0.1124,0.1135
60,0.0993,0.1032
61,0.1124,0.1135
62,0.1124,0.1135
63,0.1124,0.1135
64,0.1124,0.1135
65,0.1124,0.1135
66,0.1022,0.1010
67,0.1044,0.1028
68,0.1124,0.1135
69,0.1124,0.1135
70,0.1124,0.1135
71,0.1124,0.1135
72,0.1124,0.1135
73,0.1124,0.1135
74,0.0992,0.1009
75,0.1124,0.1135
76,0.1124,0.1135
77,0.1124,0.1135
78,0.1124,0.1135
79,0.1124,0.1135
80,0.1124,0.1135
81,0.1124,0.1135
82,0.1124,0.1135
83,0.1124,0.1135
84,0.1124,0.1135
85,0.1124,0.1135
86,0.1022,0.1010
87,0.1124,0.1135
88,0.1124,0.1135
89,0.1124,0.1135
90,0.1124,0.1135
91,0.1124,0.1135
92,0.1044,0.1028
93,0.1124,0.1135
94,0.1124,0.1135
95,0.1124,0.1135
96,0.1124,0.1135
97,0.1124,0.1135
98,0.1044,0.1028
99,0.0974,0.0982
100,0.1124,0.1135
101,0.1124,0.1135
102,0.1124,0.1135
103,0.1124,0.1135
104,0.1124,0.1135
105,0.0987,0.0980
106,0.1124,0.1135
107,0.1124,0.1135
108,0.1022,0.1010
109,0.1124,0.1135
110,0.1124,0.1135
111,0.1124,0.1135
112,0.1124,0.1135
113,0.1124,0.1135
114,0.1124,0.1135
115,0.1044,0.1028
116,0.1124,0.1135
117,0.1044,0.1028
118,0.1044,0.1028
119,0.1124,0.1135
120,0.1124,0.1135
121,0.1044,0.1028
122,0.1124,0.1135
123,0.1124,0.1135
124,0.1124,0.1135
125,0.1124,0.1135
126,0.1124,0.1135
127,0.1124,0.1135
128,0.1044,0.1028
129,0.1124,0.1135
130,0.0987,0.0980
131,0.1124,0.1135
132,0.1124,0.1135
133,0.1044,0.1028
134,0.1124,0.1135
135,0.1124,0.1135
136,0.1124,0.1135
137,0.1124,0.1135
138,0.1124,0.1135
139,0.1124,0.1135
140,0.1124,0.1135
141,0.1124,0.1135
142,0.1124,0.1135
143,0.1022,0.1010
144,0.1124,0.1135
145,0.1124,0.1135
146,0.1124,0.1135
147,0.1124,0.1135
148,0.1124,0.1135
149,0.1124,0.1135
150,0.1124,0.1135
151,0.1124,0.1135
152,0.1124,0.1135
153,0.1124,0.1135
154,0.1124,0.1135
155,0.1124,0.1135
156,0.1124,0.1135
157,0.1124,0.1135
158,0.1044,0.1028
159,0.1124,0.1135
160,0.1124,0.1135
161,0.1044,0.1028
162,0.1124,0.1135
163,0.1124,0.1135
164,0.1124,0.1135
165,0.1124,0.1135
166,0.1124,0.1135
167,0.1124,0.1135
168,0.1124,0.1135
169,0.1124,0.1135
170,0.1124,0.1135
171,0.1124,0.1135
172,0.1124,0.1135
173,0.1044,0.1028
174,0.1124,0.1135
175,0.1124,0.1135
176,0.1124,0.1135
177,0.1124,0.1135
178,0.1124,0.1135
179,0.1044,0.1028
180,0.1124,0.1135
181,0.1124,0.1135
182,0.1124,0.1135
183,0.1124,0.1135
184,0.1124,0.1135
185,0.1124,0.1135
186,0.1124,0.1135
187,0.1124,0.1135
188,0.1124,0.1135
189,0.1124,0.1135
190,0.1124,0.1135
191,0.1044,0.1028
192,0.1124,0.1135
193,0.1124,0.1135
194,0.1124,0.1135
195,0.1124,0.1135
196,0.1044,0.1028
197,0.1124,0.1135
198,0.0987,0.0980
199,0.0974,0.0982
200,0.1124,0.1135
