Epoch,Training Accuracy,Test Accuracy
1,0.9439,0.9356
2,0.9655,0.9575
3,0.9702,0.9612
4,0.9735,0.9639
5,0.9761,0.9645
6,0.9740,0.9627
7,0.9712,0.9583
8,0.9834,0.9716
9,0.9865,0.9730
10,0.9820,0.9698
11,0.9841,0.9710
12,0.9848,0.9707
13,0.9881,0.9732
14,0.9835,0.9703
15,0.9834,0.9673
16,0.9881,0.9727
17,0.9859,0.9719
18,0.9907,0.9752
19,0.9866,0.9724
20,0.9875,0.9720
21,0.9901,0.9757
22,0.9862,0.9688
23,0.9885,0.9715
24,0.9850,0.9685
25,0.9886,0.9714
26,0.9899,0.9720
27,0.9903,0.9724
28,0.9888,0.9718
29,0.9906,0.9723
30,0.9870,0.9723
31,0.9916,0.9748
32,0.9910,0.9735
33,0.9914,0.9730
34,0.9931,0.9764
35,0.9783,0.9656
36,0.9910,0.9733
37,0.9916,0.9745
38,0.9932,0.9744
39,0.9869,0.9710
40,0.9889,0.9675
41,0.9919,0.9733
42,0.9903,0.9739
43,0.9920,0.9750
44,0.9914,0.9711
45,0.9922,0.9743
46,0.9928,0.9743
47,0.9917,0.9721
48,0.9948,0.9747
49,0.9918,0.9751
50,0.9925,0.9731
51,0.9892,0.9689
52,0.9878,0.9695
53,0.9909,0.9714
54,0.9937,0.9764
55,0.9936,0.9756
56,0.9950,0.9786
57,0.9894,0.9720
58,0.9940,0.9758
59,0.9880,0.9681
60,0.9909,0.9743
61,0.9921,0.9757
62,0.9937,0.9759
63,0.9924,0.9749
64,0.9914,0.9697
65,0.9913,0.9726
66,0.9935,0.9768
67,0.9914,0.9730
68,0.9899,0.9711
69,0.9942,0.9757
70,0.9929,0.9749
71,0.9930,0.9737
72,0.9925,0.9734
73,0.9859,0.9651
74,0.9910,0.9701
75,0.9919,0.9739
76,0.9946,0.9758
77,0.9905,0.9710
78,0.9881,0.9673
79,0.9936,0.9728
80,0.9904,0.9728
81,0.9886,0.9671
82,0.9933,0.9735
83,0.9930,0.9730
84,0.9942,0.9738
85,0.9937,0.9734
86,0.9916,0.9709
87,0.9960,0.9754
88,0.9947,0.9730
89,0.9926,0.9727
90,0.9906,0.9701
91,0.9885,0.9662
92,0.9917,0.9733
93,0.9867,0.9655
94,0.9940,0.9723
95,0.9902,0.9680
96,0.9913,0.9701
97,0.9905,0.9684
98,0.9956,0.9753
99,0.9911,0.9686
100,0.9855,0.9648
101,0.9864,0.9673
102,0.9885,0.9662
103,0.9889,0.9651
104,0.9908,0.9687
105,0.9909,0.9704
106,0.9942,0.9747
107,0.9928,0.9727
108,0.9816,0.9615
109,0.9879,0.9685
110,0.9903,0.9714
111,0.9899,0.9707
112,0.9875,0.9686
113,0.9919,0.9740
114,0.9811,0.9601
115,0.9918,0.9715
116,0.9925,0.9710
117,0.9934,0.9703
118,0.9915,0.9728
119,0.9921,0.9718
120,0.9804,0.9620
121,0.9833,0.9658
122,0.9774,0.9551
123,0.9821,0.9606
124,0.9894,0.9702
125,0.9812,0.9600
126,0.9873,0.9672
127,0.9872,0.9659
128,0.9889,0.9661
129,0.9882,0.9655
130,0.9926,0.9693
131,0.9929,0.9710
132,0.9905,0.9668
133,0.9841,0.9640
134,0.9866,0.9639
135,0.9888,0.9674
136,0.9926,0.9719
137,0.9902,0.9675
138,0.9872,0.9634
139,0.9920,0.9704
140,0.9877,0.9668
141,0.9920,0.9698
142,0.9913,0.9708
143,0.9879,0.9648
144,0.9852,0.9645
145,0.9790,0.9561
146,0.9902,0.9698
147,0.9871,0.9650
148,0.9744,0.9516
149,0.9802,0.9563
150,0.9850,0.9635
151,0.9863,0.9629
152,0.9879,0.9671
153,0.9790,0.9591
154,0.9789,0.9574
155,0.9849,0.9623
156,0.9858,0.9648
157,0.9828,0.9598
158,0.9806,0.9577
159,0.9899,0.9678
160,0.9854,0.9632
161,0.9898,0.9659
162,0.9865,0.9669
163,0.9862,0.9660
164,0.9818,0.9605
165,0.9813,0.9604
166,0.9869,0.9653
167,0.9778,0.9581
168,0.9832,0.9632
169,0.9860,0.9637
170,0.9816,0.9601
171,0.9774,0.9560
172,0.9858,0.9633
173,0.9901,0.9684
174,0.9869,0.9634
175,0.9714,0.9520
176,0.9818,0.9639
177,0.9762,0.9554
178,0.9778,0.9546
179,0.9755,0.9525
180,0.9786,0.9568
181,0.9801,0.9570
182,0.9774,0.9532
183,0.9726,0.9542
184,0.9720,0.9531
185,0.9744,0.9489
186,0.9802,0.9566
187,0.9842,0.9607
188,0.9770,0.9567
189,0.9786,0.9552
190,0.9836,0.9630
191,0.9853,0.9643
192,0.9859,0.9644
193,0.9864,0.9636
194,0.9767,0.9558
195,0.9830,0.9623
196,0.9828,0.9614
197,0.9846,0.9630
198,0.9849,0.9601
199,0.9791,0.9613
200,0.9808,0.9610
