Epoch,Training Accuracy,Test Accuracy
1,0.9590,0.9547
2,0.9671,0.9583
3,0.9712,0.9633
4,0.9695,0.9610
5,0.9759,0.9632
6,0.9794,0.9690
7,0.9840,0.9706
8,0.9825,0.9691
9,0.9840,0.9692
10,0.9871,0.9732
11,0.9847,0.9721
12,0.9814,0.9676
13,0.9875,0.9737
14,0.9873,0.9726
15,0.9829,0.9657
16,0.9847,0.9683
17,0.9889,0.9733
18,0.9824,0.9673
19,0.9903,0.9742
20,0.9884,0.9726
21,0.9888,0.9747
22,0.9914,0.9765
23,0.9887,0.9750
24,0.9895,0.9736
25,0.9879,0.9716
26,0.9890,0.9754
27,0.9905,0.9731
28,0.9883,0.9729
29,0.9924,0.9730
30,0.9942,0.9751
31,0.9936,0.9761
32,0.9887,0.9732
33,0.9923,0.9754
34,0.9933,0.9751
35,0.9916,0.9735
36,0.9928,0.9740
37,0.9900,0.9733
38,0.9904,0.9726
39,0.9903,0.9724
40,0.9936,0.9759
41,0.9900,0.9742
42,0.9917,0.9738
43,0.9929,0.9744
44,0.9946,0.9757
45,0.9936,0.9749
46,0.9927,0.9740
47,0.9945,0.9767
48,0.9937,0.9749
49,0.9919,0.9745
50,0.9920,0.9727
51,0.9958,0.9765
52,0.9926,0.9739
53,0.9872,0.9687
54,0.9943,0.9778
55,0.9955,0.9753
56,0.9929,0.9748
57,0.9901,0.9709
58,0.9909,0.9699
59,0.9926,0.9731
60,0.9928,0.9726
61,0.9937,0.9748
62,0.9950,0.9774
63,0.9943,0.9768
64,0.9960,0.9785
65,0.9956,0.9770
66,0.9947,0.9764
67,0.9933,0.9740
68,0.9947,0.9766
69,0.9949,0.9742
70,0.9927,0.9731
71,0.9925,0.9745
72,0.9957,0.9756
73,0.9917,0.9728
74,0.9949,0.9748
75,0.9938,0.9758
76,0.9938,0.9739
77,0.9927,0.9726
78,0.9944,0.9759
79,0.9954,0.9767
80,0.9948,0.9741
81,0.9945,0.9752
82,0.9955,0.9748
83,0.9947,0.9761
84,0.9930,0.9725
85,0.9933,0.9718
86,0.9952,0.9755
87,0.9937,0.9735
88,0.9933,0.9736
89,0.9958,0.9777
90,0.9950,0.9778
91,0.9932,0.9731
92,0.9897,0.9697
93,0.9954,0.9767
94,0.9940,0.9755
95,0.9966,0.9780
96,0.9951,0.9755
97,0.9963,0.9764
98,0.9915,0.9707
99,0.9949,0.9726
100,0.9927,0.9728
101,0.9960,0.9756
102,0.9944,0.9763
103,0.9903,0.9711
104,0.9939,0.9724
105,0.9897,0.9665
106,0.9944,0.9741
107,0.9949,0.9743
108,0.9960,0.9765
109,0.9948,0.9753
110,0.9902,0.9676
111,0.9959,0.9764
112,0.9921,0.9718
113,0.9959,0.9752
114,0.9941,0.9732
115,0.9931,0.9714
116,0.9947,0.9741
117,0.9961,0.9753
118,0.9954,0.9750
119,0.9956,0.9756
120,0.9946,0.9747
121,0.9956,0.9739
122,0.9926,0.9718
123,0.9937,0.9734
124,0.9910,0.9715
125,0.9938,0.9723
126,0.9925,0.9699
127,0.9963,0.9771
128,0.9929,0.9743
129,0.9958,0.9759
130,0.9958,0.9741
131,0.9948,0.9723
132,0.9939,0.9744
133,0.9940,0.9742
134,0.9946,0.9741
135,0.9918,0.9696
136,0.9940,0.9723
137,0.9951,0.9747
138,0.9914,0.9676
139,0.9946,0.9727
140,0.9954,0.9746
141,0.9938,0.9733
142,0.9940,0.9723
143,0.9954,0.9760
144,0.9946,0.9761
145,0.9938,0.9741
146,0.9953,0.9770
147,0.9944,0.9734
148,0.9951,0.9752
149,0.9938,0.9748
150,0.9943,0.9749
151,0.9955,0.9747
152,0.9961,0.9753
153,0.9952,0.9730
154,0.9970,0.9769
155,0.9953,0.9718
156,0.9944,0.9745
157,0.9933,0.9726
158,0.9957,0.9744
159,0.9946,0.9759
160,0.9952,0.9737
161,0.9936,0.9720
162,0.9938,0.9739
163,0.9952,0.9747
164,0.9952,0.9741
165,0.9967,0.9760
166,0.9955,0.9747
167,0.9942,0.9716
168,0.9949,0.9733
169,0.9921,0.9713
170,0.9894,0.9653
171,0.9956,0.9747
172,0.9939,0.9709
173,0.9938,0.9700
174,0.9909,0.9685
175,0.9945,0.9732
176,0.9942,0.9726
177,0.9954,0.9742
178,0.9952,0.9730
179,0.9954,0.9739
180,0.9929,0.9717
181,0.9952,0.9742
182,0.9948,0.9723
183,0.9906,0.9686
184,0.9936,0.9706
185,0.9956,0.9727
186,0.9958,0.9743
187,0.9964,0.9764
188,0.9949,0.9718
189,0.9942,0.9743
190,0.9938,0.9724
191,0.9913,0.9704
192,0.9934,0.9728
193,0.9942,0.9719
194,0.9935,0.9720
195,0.9953,0.9739
196,0.9953,0.9722
197,0.9957,0.9764
198,0.9949,0.9752
199,0.9918,0.9699
200,0.9938,0.9740
