Epoch,Training Accuracy,Test Accuracy
1,0.7519,0.7547
2,0.7897,0.7902
3,0.7932,0.7927
4,0.7912,0.7925
5,0.7916,0.7907
6,0.7887,0.7930
7,0.7983,0.7966
8,0.8050,0.8050
9,0.8015,0.7998
10,0.8076,0.8087
11,0.8013,0.8037
12,0.8032,0.8042
13,0.7994,0.7984
14,0.8026,0.8051
15,0.8086,0.8121
16,0.8123,0.8135
17,0.8090,0.8096
18,0.7950,0.7992
19,0.8136,0.8176
20,0.8137,0.8136
21,0.8019,0.8021
22,0.8132,0.8106
23,0.8070,0.8109
24,0.8052,0.8064
25,0.8101,0.8113
26,0.8124,0.8116
27,0.8111,0.8114
28,0.8143,0.8150
29,0.8072,0.8075
30,0.8169,0.8170
31,0.8131,0.8135
32,0.8109,0.8076
33,0.8054,0.8060
34,0.8131,0.8123
35,0.8163,0.8131
36,0.8141,0.8134
37,0.8144,0.8161
38,0.8061,0.8065
39,0.8122,0.8127
40,0.8170,0.8134
41,0.8164,0.8166
42,0.8150,0.8136
43,0.8172,0.8159
44,0.8152,0.8172
45,0.8194,0.8191
46,0.8167,0.8173
47,0.8127,0.8082
48,0.8150,0.8145
49,0.8129,0.8143
50,0.8175,0.8160
51,0.8164,0.8136
52,0.8182,0.8185
53,0.8102,0.8094
54,0.8186,0.8145
55,0.8174,0.8187
56,0.8181,0.8189
57,0.8005,0.8052
58,0.8131,0.8103
59,0.8154,0.8144
60,0.8123,0.8130
61,0.8173,0.8140
62,0.8194,0.8190
63,0.8169,0.8160
64,0.8183,0.8166
65,0.8195,0.8189
66,0.8199,0.8185
67,0.8106,0.8129
68,0.8062,0.8051
69,0.8144,0.8096
70,0.8156,0.8183
71,0.8202,0.8173
72,0.8182,0.8158
73,0.8127,0.8138
74,0.8152,0.8158
75,0.8199,0.8186
76,0.8142,0.8115
77,0.8214,0.8159
78,0.8163,0.8117
79,0.8142,0.8133
80,0.8158,0.8131
81,0.8176,0.8139
82,0.8190,0.8181
83,0.8181,0.8151
84,0.8163,0.8126
85,0.8181,0.8157
86,0.8111,0.8097
87,0.8123,0.8080
88,0.8164,0.8144
89,0.8190,0.8169
90,0.8139,0.8117
91,0.8031,0.8035
92,0.8173,0.8136
93,0.8200,0.8180
94,0.8159,0.8150
95,0.8176,0.8146
96,0.8163,0.8108
97,0.8153,0.8111
98,0.8193,0.8162
99,0.8217,0.8184
100,0.8210,0.8186
101,0.8217,0.8188
102,0.8203,0.8159
103,0.8210,0.8175
104,0.8213,0.8159
105,0.8207,0.8180
106,0.8175,0.8153
107,0.8214,0.8175
108,0.8216,0.8159
109,0.8173,0.8190
110,0.8129,0.8080
111,0.8189,0.8135
112,0.8192,0.8194
113,0.8174,0.8137
114,0.8075,0.8070
115,0.8201,0.8148
116,0.8178,0.8135
117,0.8206,0.8163
118,0.8136,0.8137
119,0.8226,0.8187
120,0.8116,0.8104
121,0.8201,0.8162
122,0.8201,0.8147
123,0.8186,0.8158
124,0.8123,0.8074
125,0.8120,0.8104
126,0.8209,0.8148
127,0.8167,0.8112
128,0.8165,0.8118
129,0.8178,0.8170
130,0.8124,0.8086
131,0.8176,0.8157
132,0.8184,0.8155
133,0.8139,0.8090
134,0.8166,0.8118
135,0.8191,0.8172
136,0.8178,0.8144
137,0.8155,0.8114
138,0.8179,0.8163
139,0.8129,0.8102
140,0.8208,0.8178
141,0.8187,0.8143
142,0.8197,0.8141
143,0.8195,0.8127
144,0.8199,0.8152
145,0.8229,0.8171
146,0.8164,0.8118
147,0.8195,0.8160
148,0.8182,0.8146
149,0.8210,0.8187
150,0.8109,0.8051
151,0.8165,0.8119
152,0.8185,0.8134
153,0.8251,0.8190
154,0.8177,0.8164
155,0.8226,0.8169
156,0.8210,0.8141
157,0.8132,0.8097
158,0.8169,0.8123
159,0.8234,0.8207
160,0.8189,0.8116
161,0.8150,0.8088
162,0.8160,0.8149
163,0.8150,0.8116
164,0.8186,0.8137
165,0.8182,0.8125
166,0.8212,0.8158
167,0.8182,0.8150
168,0.8208,0.8147
169,0.8182,0.8144
170,0.8198,0.8158
171,0.8095,0.8076
172,0.8189,0.8126
173,0.8220,0.8151
174,0.8224,0.8175
175,0.8256,0.8199
176,0.8234,0.8169
177,0.8215,0.8186
178,0.8177,0.8113
179,0.8062,0.8045
180,0.8228,0.8182
181,0.8189,0.8148
182,0.8149,0.8112
183,0.8159,0.8134
184,0.8265,0.8195
185,0.8204,0.8164
186,0.8258,0.8169
187,0.8196,0.8143
188,0.8187,0.8119
189,0.8172,0.8126
190,0.8245,0.8193
191,0.8266,0.8188
192,0.8228,0.8192
193,0.8157,0.8104
194,0.8189,0.8156
195,0.8214,0.8170
196,0.8145,0.8090
197,0.8173,0.8122
198,0.8206,0.8144
199,0.8256,0.8216
200,0.8248,0.8202
