Epoch,Training Accuracy,Test Accuracy
1,0.9326,0.9327
2,0.9557,0.9540
3,0.9670,0.9592
4,0.9633,0.9548
5,0.9686,0.9583
6,0.9722,0.9611
7,0.9690,0.9607
8,0.9748,0.9644
9,0.9800,0.9666
10,0.9736,0.9625
11,0.9810,0.9681
12,0.9830,0.9692
13,0.9830,0.9706
14,0.9804,0.9651
15,0.9823,0.9667
16,0.9789,0.9657
17,0.9831,0.9666
18,0.9840,0.9698
19,0.9844,0.9677
20,0.9784,0.9621
21,0.9864,0.9686
22,0.9842,0.9665
23,0.9834,0.9632
24,0.9825,0.9650
25,0.9860,0.9664
26,0.9878,0.9691
27,0.9838,0.9646
28,0.9875,0.9664
29,0.9868,0.9690
30,0.9821,0.9646
31,0.9857,0.9693
32,0.9903,0.9721
33,0.9865,0.9687
34,0.9879,0.9674
35,0.9886,0.9707
36,0.9868,0.9691
37,0.9881,0.9689
38,0.9873,0.9681
39,0.9916,0.9711
40,0.9842,0.9632
41,0.9871,0.9683
42,0.9903,0.9678
43,0.9904,0.9695
44,0.9908,0.9725
45,0.9885,0.9683
46,0.9919,0.9709
47,0.9873,0.9707
48,0.9914,0.9696
49,0.9875,0.9694
50,0.9915,0.9697
51,0.9890,0.9679
52,0.9914,0.9720
53,0.9904,0.9675
54,0.9922,0.9713
55,0.9919,0.9710
56,0.9899,0.9680
57,0.9903,0.9713
58,0.9836,0.9651
59,0.9921,0.9706
60,0.9912,0.9690
61,0.9869,0.9645
62,0.9912,0.9698
63,0.9894,0.9650
64,0.9931,0.9724
65,0.9927,0.9693
66,0.9889,0.9672
67,0.9917,0.9706
68,0.9864,0.9649
69,0.9918,0.9689
70,0.9891,0.9677
71,0.9924,0.9697
72,0.9923,0.9700
73,0.9931,0.9690
74,0.9917,0.9688
75,0.9923,0.9687
76,0.9922,0.9691
77,0.9933,0.9697
78,0.9923,0.9700
79,0.9920,0.9692
80,0.9918,0.9680
81,0.9912,0.9671
82,0.9889,0.9680
83,0.9939,0.9687
84,0.9945,0.9713
85,0.9915,0.9671
86,0.9908,0.9684
87,0.9912,0.9666
88,0.9935,0.9706
89,0.9917,0.9701
90,0.9840,0.9601
91,0.9909,0.9686
92,0.9910,0.9677
93,0.9940,0.9705
94,0.9904,0.9675
95,0.9938,0.9684
96,0.9921,0.9693
97,0.9925,0.9692
98,0.9906,0.9697
99,0.9930,0.9726
100,0.9888,0.9664
101,0.9927,0.9698
102,0.9946,0.9708
103,0.9945,0.9701
104,0.9933,0.9709
105,0.9899,0.9658
106,0.9948,0.9724
107,0.9931,0.9679
108,0.9938,0.9692
109,0.9735,0.9500
110,0.9921,0.9687
111,0.9929,0.9693
112,0.9960,0.9724
113,0.9944,0.9708
114,0.9931,0.9679
115,0.9959,0.9689
116,0.9948,0.9685
117,0.9954,0.9699
118,0.9908,0.9651
119,0.9921,0.9662
120,0.9943,0.9675
121,0.9958,0.9694
122,0.9919,0.9664
123,0.9881,0.9647
124,0.9941,0.9688
125,0.9947,0.9693
126,0.9926,0.9678
127,0.9928,0.9674
128,0.9920,0.9701
129,0.9946,0.9689
130,0.9946,0.9701
131,0.9957,0.9679
132,0.9938,0.9699
133,0.9900,0.9646
134,0.9934,0.9679
135,0.9919,0.9658
136,0.9859,0.9616
137,0.9902,0.9652
138,0.9933,0.9664
139,0.9896,0.9646
140,0.9917,0.9678
141,0.9912,0.9681
142,0.9932,0.9683
143,0.9853,0.9616
144,0.9841,0.9623
145,0.9875,0.9639
146,0.9864,0.9634
147,0.9889,0.9673
148,0.9918,0.9692
149,0.9900,0.9663
150,0.9909,0.9686
151,0.9913,0.9691
152,0.9906,0.9670
153,0.9885,0.9647
154,0.9891,0.9636
155,0.9852,0.9607
156,0.9766,0.9543
157,0.9910,0.9655
158,0.9920,0.9686
159,0.9913,0.9662
160,0.9903,0.9661
161,0.9922,0.9676
162,0.9657,0.9450
163,0.9880,0.9659
164,0.9923,0.9683
165,0.9892,0.9673
166,0.9926,0.9683
167,0.9884,0.9634
168,0.9845,0.9629
169,0.9913,0.9686
170,0.9919,0.9678
171,0.9903,0.9663
172,0.9880,0.9660
173,0.9895,0.9651
174,0.9923,0.9689
175,0.9922,0.9648
176,0.9851,0.9627
177,0.9931,0.9702
178,0.9862,0.9598
179,0.9908,0.9671
180,0.9820,0.9563
181,0.9902,0.9659
182,0.9886,0.9637
183,0.9925,0.9673
184,0.9864,0.9613
185,0.9857,0.9622
186,0.9922,0.9655
187,0.9932,0.9693
188,0.9915,0.9677
189,0.9918,0.9690
190,0.9846,0.9601
191,0.9874,0.9639
192,0.9919,0.9686
193,0.9927,0.9705
194,0.9884,0.9614
195,0.9907,0.9670
196,0.9936,0.9706
197,0.9898,0.9665
198,0.9948,0.9714
199,0.9914,0.9656
200,0.9923,0.9646
